Item_ID,Description,Size
1722,Jack Daniels Sinatra Century,Liter
1725,Ole Smoky White Lightnin',750mL
1727,West Cork Irish Whiskey,750mL
1728,Aberlour 16 Year Old Single,750mL
1730,La Collection NH Summer,750mL
1733,Ole Smoky Moonshine Peaches,750mL
1734,Duggans Dew O Kirkintilloch,1.75L
1737,Makers Mark,1.75L
1738,Ole Smoky Moonshine Cherries,750mL
1740,Glenkinchie 12 YO Scotch,750mL
1744,Old Forester 100 Bourbon,750mL
1746,Tomatin 12 Yr Old Scotch,750mL
1748,William Grant Scotch,750mL
1757,Aberfeldy 21 Yr Single Malt,750mL
1758,Aberlour Glenlivet 12 Yr,750mL
1760,William Grant Scotch,1.75L
1762,Ole Smoky Blue Flame,750mL
1766,Duggans Dew O Kirkintilloch,50mL
1767,Buffalo Trace Bourbon,750mL
1770,Jack Daniels Tennessee Fire,1.75L
1771,Jack Daniels Tennessee Fire,50mL
1779,Forged Oak Bourbon Whiskey,750mL
1781,Wild Turkey Russell's Rsv,750mL
1788,Knappogue Castle Irish 12 Yr,750mL
1789,Jack Daniels Tennesse Fire,750mL
1790,Morrigan Irish Whiskey,750mL
1798,Talisker Distillers Edition,750mL
1817,Irishman Founders RSV Whisky,750mL
1828,Old Forester Mint Julep,Liter
1835,Knappogue Castle Irish Whsky,750mL
1836,Tyrconnell Irish Whiskey,750mL
1845,Cluny Scotch Whiskey,1.75L
1848,Oban Little Bay Single Malt,750mL
1860,Bruichladdich Islay Barley,750mL
1862,John Power Irish Whiskey,750mL
1864,1792 Port Finish Bourbon,750mL
1867,Jack Daniels Tennessee Honey,50mL
1868,Lagavulin Single Malt 16-Yr,750mL
1869,Oban 14-Yr Single Malt,750mL
1870,Oban Distiller's Edition,750mL
1874,Bruichladdich Octomore 61,750mL
1875,Bushmills Black Bush,750mL
1876,Midleton Rare Irish Whiskey,750mL
1878,Jim Beam White BBQ Sauce Pak,750mL
1880,The Glenlivet Nadurra 16 Yr,750mL
1883,Seagrams 7 Crown,1.75L
1886,Seagrams 7 Crown,750mL
1887,House of Stuart Scotch,Liter
1888,El Toro Silver Tequila,Liter
1889,El Toro Gold Tequila,Liter
1890,Jameson 12 Year Old,750mL
1891,Oban 18 Yr Single Malt,750mL
1892,Yukon Jack,50mL
1893,Port Charlotte Scotch Barley,750mL
1895,Senators Club,Liter
1896,The Glenlivet 18 Yr Single,750mL
1905,Ole Smoky Margrita Moonshine,750mL
1906,Jack Daniels Tenn Fire VAP,750mL
1919,Tullamore Dew Crock,750mL
1920,Bowman Brothers Small Batch,750mL
1921,Glenfiddich Special Rsv 12,1.75L
1927,Jack Daniels Barrel Proof,750mL
1955,Jack Daniels Tennessee Honey,375mL
1956,Balvenie 12 Yr Doublewood S,750mL
1961,Everclear 151,1.75L
1962,Jim Beam Apple,750mL
1964,Jim Beam Single Barrel,750mL
1972,Admiral Nelson Egg Nog,750mL
1982,Herradura Silver Tequila,375mL
1987,White Mountain Moonshine,375mL
1989,Johnnie Walker Black Tin,750mL
1995,Jose Cuervo R Rolling Stones,750mL
1997,Charles Goodnight Bourbon,750mL
1999,Old Forrester 1870 Craft,750mL
2000,John Taylor Velvet Falernum,750mL
2002,Kronan Swedish Punsch,750mL
2004,The Scarlet Ibis,750mL
